temp_id,title,type,body,labels,parent_temp_id
TASK-7.2.1.1,"Task: Implement POST /payments/{id}/mark-paid",Task,"Body includes method reference notify flag.","type: task,module: payments",STORY-7.2.1
TASK-7.2.1.2,"Task: Update payment_records.status to paid",Task,"Set status and marked_paid_at.","type: task,module: payments",STORY-7.2.1
TASK-7.2.1.3,"Task: Record marked_paid_at and marked_paid_by",Task,"Capture admin user from JWT.","type: task,module: payments",STORY-7.2.1
TASK-7.2.1.4,"Task: Write payment tests",Task,"Cover status transitions and audit fields.","type: task,module: payments",STORY-7.2.1
STORY-7.3.1,"Story: Driver receives push when payment processed",Story,"As a driver I want a push notification so I know payment was sent.","type: story,module: payments",FEAT-7.3
TASK-7.3.1.1,"Task: Create NotifyDriverFunction (Queue trigger)",Task,"Process driver-notifications queue.","type: task,module: payments",STORY-7.3.1
TASK-7.3.1.2,"Task: Enqueue message from mark-paid endpoint",Task,"Fire-and-forget after status update.","type: task,module: payments",STORY-7.3.1
TASK-7.3.1.3,"Task: Send via Azure Notification Hubs",Task,"Deliver to registered device tokens.","type: task,module: payments",STORY-7.3.1
TASK-7.3.1.4,"Task: Update driver_notified_at",Task,"Record delivery time.","type: task,module: payments",STORY-7.3.1
TASK-7.3.1.5,"Task: Build MAUI Payment Status page",Task,"List of payments with paid indicator.","type: task,module: mobile",STORY-7.3.1
TASK-7.3.1.6,"Task: Write notification tests",Task,"Cover queue and hub integration.","type: task,module: payments",STORY-7.3.1
FEAT-8.1,"Feature 8.1: Driver Expense Logging",Feature,"Log expenses with photos and GPS.","type: feature,module: incidents",EPIC-8
FEAT-8.2,"Feature 8.2: Incident Reporting",Feature,"Report accidents damage or theft with photos.","type: feature,module: incidents",EPIC-8
FEAT-8.3,"Feature 8.3: Complaint Management",Feature,"Log and resolve customer complaints with penalties.","type: feature,module: incidents",EPIC-8
STORY-8.1.1,"Story: Driver can log expenses with photo",Story,"As a driver I want to log expenses so I can be reimbursed.","type: story,module: incidents",FEAT-8.1
TASK-8.1.1.1,"Task: Implement POST /expenses",Task,"Accept expense with receipt photo.","type: task,module: incidents",STORY-8.1.1
TASK-8.1.1.2,"Task: Build MAUI Log Expense page",Task,"Category picker amount photo capture.","type: task,module: mobile",STORY-8.1.1
TASK-8.1.1.3,"Task: Capture GPS and photo",Task,"Attach GPS coordinates and receipt image.","type: task,module: mobile",STORY-8.1.1
TASK-8.1.1.4,"Task: Support offline logging with SQLite",Task,"Store pending entries locally.","type: task,module: mobile",STORY-8.1.1
TASK-8.1.1.5,"Task: Sync when online",Task,"Push queued expenses when connectivity returns.","type: task,module: mobile",STORY-8.1.1
TASK-8.1.1.6,"Task: Write expense tests",Task,"Cover online and offline paths.","type: task,module: incidents",STORY-8.1.1
STORY-8.2.1,"Story: Driver can report accidents with photos",Story,"As a driver I want to report incidents so my manager is informed.","type: story,module: incidents",FEAT-8.2
TASK-8.2.1.1,"Task: Implement POST /incidents",Task,"Accept incident with photos.","type: task,module: incidents",STORY-8.2.1
TASK-8.2.1.2,"Task: Build MAUI Report Incident page",Task,"Type severity description photo capture.","type: task,module: mobile",STORY-8.2.1
TASK-8.2.1.3,"Task: Capture GPS and photos",Task,"Attach location and multiple photos.","type: task,module: mobile",STORY-8.2.1
TASK-8.2.1.4,"Task: Set severity and at_fault flag",Task,"Mandatory fields for triage.","type: task,module: incidents",STORY-8.2.1
TASK-8.2.1.5,"Task: Notify fleet manager",Task,"Email or in-app alert.","type: task,module: incidents",STORY-8.2.1
TASK-8.2.1.6,"Task: Write incident tests",Task,"Cover reporting and notification.","type: task,module: incidents",STORY-8.2.1
STORY-8.3.1,"Story: Fleet manager can log and resolve complaints",Story,"As a fleet manager I want to resolve complaints with a penalty.","type: story,module: incidents",FEAT-8.3
TASK-8.3.1.1,"Task: Implement GET POST /complaints",Task,"List and create complaints.","type: task,module: incidents",STORY-8.3.1
TASK-8.3.1.2,"Task: Implement PUT /complaints/{id}/resolve",Task,"Set resolution notes and penalty.","type: task,module: incidents",STORY-8.3.1
TASK-8.3.1.3,"Task: Build Blazor Complaints page",Task,"List with filters and resolve modal.","type: task,module: incidents",STORY-8.3.1
TASK-8.3.1.4,"Task: Link penalty to billing engine",Task,"Expose penalty for next cycle.","type: task,module: billing",STORY-8.3.1
TASK-8.3.1.5,"Task: Write complaint tests",Task,"Cover resolution and penalty flow.","type: task,module: incidents",STORY-8.3.1
FEAT-9.1,"Feature 9.1: Fleet Analytics Dashboard",Feature,"Fleet KPIs at a glance.","type: feature,module: analytics",EPIC-9
FEAT-9.2,"Feature 9.2: Vehicle Comparison",Feature,"Compare makes and models by TCO revenue per km and rating.","type: feature,module: analytics",EPIC-9
FEAT-9.3,"Feature 9.3: Driver Ranking",Feature,"Rank drivers by performance.","type: feature,module: analytics",EPIC-9
FEAT-9.4,"Feature 9.4: Tax Export (IVA and IRS)",Feature,"Export IVA and IRS data for the accountant.","type: feature,module: analytics",EPIC-9
STORY-9.1.1,"Story: Fleet manager sees fleet KPIs",Story,"As a fleet manager I want a dashboard with key metrics.","type: story,module: analytics",FEAT-9.1
TASK-9.1.1.1,"Task: Implement GET /analytics/fleet-overview",Task,"Return revenue costs utilisation alerts.","type: task,module: analytics",STORY-9.1.1
TASK-9.1.1.2,"Task: Build Blazor Dashboard page",Task,"KPI tiles and summary charts.","type: task,module: analytics",STORY-9.1.1
TASK-9.1.1.3,"Task: Show revenue costs utilisation alerts",Task,"Sourced from cached aggregates.","type: task,module: analytics",STORY-9.1.1
TASK-9.1.1.4,"Task: Cache aggregates with 5-min TTL",Task,"Use IMemoryCache.","type: task,module: core",STORY-9.1.1
TASK-9.1.1.5,"Task: Write dashboard tests",Task,"Cover metric calculations.","type: task,module: analytics",STORY-9.1.1
STORY-9.2.1,"Story: Fleet manager can compare makes and models",Story,"As a fleet manager I want to see which cars perform best.","type: story,module: analytics",FEAT-9.2
TASK-9.2.1.1,"Task: Implement GET /analytics/vehicle-comparison",Task,"Return scored comparison.","type: task,module: analytics",STORY-9.2.1
TASK-9.2.1.2,"Task: Calculate Vehicle Score",Task,"Weighted formula per business logic.","type: task,module: analytics",STORY-9.2.1
TASK-9.2.1.3,"Task: Build Blazor Vehicles Comparison page",Task,"Side-by-side cards.","type: task,module: analytics",STORY-9.2.1
TASK-9.2.1.4,"Task: Add chart visualisations",Task,"Bar and line charts per metric.","type: task,module: analytics",STORY-9.2.1
TASK-9.2.1.5,"Task: Write comparison tests",Task,"Cover scoring and edge cases.","type: task,module: analytics",STORY-9.2.1
STORY-9.3.1,"Story: Fleet manager can rank drivers",Story,"As a fleet manager I want to identify top and low performers.","type: story,module: analytics",FEAT-9.3
TASK-9.3.1.1,"Task: Implement GET /analytics/driver-ranking",Task,"Return ranked drivers.","type: task,module: analytics",STORY-9.3.1
TASK-9.3.1.2,"Task: Aggregate ratings complaints revenue trips",Task,"Composite score per driver.","type: task,module: analytics",STORY-9.3.1
TASK-9.3.1.3,"Task: Build Blazor Analytics Drivers page",Task,"Ranked table with trend sparklines.","type: task,module: analytics",STORY-9.3.1
TASK-9.3.1.4,"Task: Write ranking tests",Task,"Cover scoring formula.","type: task,module: analytics",STORY-9.3.1
STORY-9.4.1,"Story: Accountant can export IVA and IRS data",Story,"As an accountant I want to file taxes correctly.","type: story,module: analytics",FEAT-9.4
TASK-9.4.1.1,"Task: Implement GET /reports/tax-export",Task,"Return CSV for the period.","type: task,module: analytics",STORY-9.4.1
TASK-9.4.1.2,"Task: Build CSV with IVA 6% and IRS withholding",Task,"One row per relevant transaction.","type: task,module: analytics",STORY-9.4.1
TASK-9.4.1.3,"Task: Build Blazor Reports Tax page",Task,"Period picker and download button.","type: task,module: analytics",STORY-9.4.1
TASK-9.4.1.4,"Task: Write export tests",Task,"Cover IVA and IRS totals.","type: task,module: analytics",STORY-9.4.1
FEAT-10.1,"Feature 10.1: MAUI App Scaffolding",Feature,"MAUI project with all screens and navigation.","type: feature,module: mobile",EPIC-10
FEAT-10.2,"Feature 10.2: Offline Sync",Feature,"Log expenses and incidents offline and sync later.","type: feature,module: mobile",EPIC-10
FEAT-10.3,"Feature 10.3: Push Notifications",Feature,"Payment and compliance alerts via push.","type: feature,module: mobile",EPIC-10
STORY-10.1.1,"Story: Developer has MAUI project with all screens",Story,"As a developer I want the MAUI project ready to build.","type: story,module: mobile",FEAT-10.1
TASK-10.1.1.1,"Task: Create TvdeFleet.Maui project",Task,"MAUI app targeting iOS and Android.","type: task,module: mobile",STORY-10.1.1
TASK-10.1.1.2,"Task: Create all Views and ViewModels",Task,"Login Dashboard Trips Expenses Incidents Earnings Payments Compliance.","type: task,module: mobile",STORY-10.1.1
TASK-10.1.1.3,"Task: Configure Shell navigation",Task,"Route registration and tab structure.","type: task,module: mobile",STORY-10.1.1
TASK-10.1.1.4,"Task: Add API Auth Location Notification services",Task,"Typed HttpClient auth storage GPS push.","type: task,module: mobile",STORY-10.1.1
TASK-10.1.1.5,"Task: Write UI tests",Task,"Cover navigation and view rendering.","type: task,module: mobile",STORY-10.1.1
STORY-10.2.1,"Story: Driver can log expenses and incidents offline",Story,"As a driver I want to work without connectivity.","type: story,module: mobile",FEAT-10.2
TASK-10.2.1.1,"Task: Implement SQLite local storage",Task,"Local tables for pending expenses and incidents.","type: task,module: mobile",STORY-10.2.1
TASK-10.2.1.2,"Task: Queue expenses and incidents for sync",Task,"Persist to local store with pending flag.","type: task,module: mobile",STORY-10.2.1
TASK-10.2.1.3,"Task: Sync when connectivity returns",Task,"Detect network and flush queue.","type: task,module: mobile",STORY-10.2.1
TASK-10.2.1.4,"Task: Show pending badge",Task,"Badge on nav items.","type: task,module: mobile",STORY-10.2.1
TASK-10.2.1.5,"Task: Write offline sync tests",Task,"Cover queue and flush.","type: task,module: mobile",STORY-10.2.1
STORY-10.3.1,"Story: Driver receives push notifications",Story,"As a driver I want push for payment and compliance alerts.","type: story,module: mobile",FEAT-10.3
TASK-10.3.1.1,"Task: Configure Azure Notification Hubs",Task,"Register app and obtain connection string.","type: task,module: mobile",STORY-10.3.1
TASK-10.3.1.2,"Task: Implement PushNotificationFunction",Task,"Queue-triggered delivery.","type: task,module: mobile",STORY-10.3.1
TASK-10.3.1.3,"Task: Register device tokens in MAUI",Task,"Store token per user in API.","type: task,module: mobile",STORY-10.3.1
TASK-10.3.1.4,"Task: Handle notification tap to navigate",Task,"Deep link into Payment or Compliance page.","type: task,module: mobile",STORY-10.3.1
TASK-10.3.1.5,"Task: Write notification tests",Task,"Cover delivery and deep links.","type: task,module: mobile",STORY-10.3.1
FEAT-11.1,"Feature 11.1: Daily Compliance Scan",Feature,"Daily scan of all compliance expiries.","type: feature,module: compliance",EPIC-11
FEAT-11.2,"Feature 11.2: Alert Notifications",Feature,"Email and push alerts for expiring documents.","type: feature,module: compliance",EPIC-11
STORY-11.1.1,"Story: Fleet manager gets daily scan of all expiries",Story,"As a fleet manager I want daily scanning so I never miss a renewal.","type: story,module: compliance",FEAT-11.1
TASK-11.1.1.1,"Task: Create ComplianceAlertFunction (Timer daily 06:00)",Task,"Daily scheduled Azure Function.","type: task,module: compliance",STORY-11.1.1
TASK-11.1.1.2,"Task: Scan vehicle IMT reg insurance IPO sticker",Task,"Query vehicle_compliance_records.","type: task,module: compliance",STORY-11.1.1
TASK-11.1.1.3,"Task: Scan driver CMTVDE criminal record licence",Task,"Query drivers and driver_compliance_documents.","type: task,module: compliance",STORY-11.1.1
TASK-11.1.1.4,"Task: Scan vehicle age 10y or 12y EV",Task,"Flag for decommissioning.","type: task,module: compliance",STORY-11.1.1
TASK-11.1.1.5,"Task: Generate alerts at 30 15 and 7-day thresholds",Task,"Classify warning vs critical.","type: task,module: compliance",STORY-11.1.1
TASK-11.1.1.6,"Task: Write alert tests",Task,"Cover thresholds and blocking rules.","type: task,module: compliance",STORY-11.1.1
STORY-11.2.1,"Story: Driver or manager receives expiring-doc alerts",Story,"As a driver or manager I want alerts so I can renew in time.","type: story,module: compliance",FEAT-11.2
TASK-11.2.1.1,"Task: Enqueue notifications from alert engine",Task,"Queue driver-notifications messages.","type: task,module: compliance",STORY-11.2.1
TASK-11.2.1.2,"Task: Send via NotifyDriverFunction",Task,"Email or push per preference.","type: task,module: compliance",STORY-11.2.1
TASK-11.2.1.3,"Task: Build Blazor Compliance Alerts page",Task,"List upcoming expiries with filters.","type: task,module: compliance",STORY-11.2.1
TASK-11.2.1.4,"Task: Write notification tests",Task,"Cover delivery channels.","type: task,module: compliance",STORY-11.2.1
FEAT-12.1,"Feature 12.1: Mapon Settings",Feature,"Configure Mapon base URL API key and sync interval.","type: feature,module: settings",EPIC-12
FEAT-12.2,"Feature 12.2: User Management",Feature,"Create edit and deactivate users and assign roles.","type: feature,module: settings",EPIC-12
STORY-12.1.1,"Story: Admin can configure Mapon settings",Story,"As an admin I want to configure Mapon so telemetry works.","type: story,module: settings",FEAT-12.1
TASK-12.1.1.1,"Task: Build Blazor Settings Mapon page",Task,"Form for base URL API key and interval.","type: task,module: settings",STORY-12.1.1
TASK-12.1.1.2,"Task: Store settings securely in Key Vault",Task,"Never store API key in plaintext.","type: task,module: settings",STORY-12.1.1
TASK-12.1.1.3,"Task: Add Test Connection button",Task,"Call MaponClient GetUnitsAsync.","type: task,module: settings",STORY-12.1.1
TASK-12.1.1.4,"Task: Show sync status and last sync time",Task,"Query background_job_logs.","type: task,module: settings",STORY-12.1.1
TASK-12.1.1.5,"Task: Write settings tests",Task,"Cover save and test-connection.","type: task,module: settings",STORY-12.1.1
STORY-12.2.1,"Story: Admin can manage users",Story,"As an admin I want to create edit and deactivate users.","type: story,module: settings",FEAT-12.2
TASK-12.2.1.1,"Task: Implement GET POST PUT /users",Task,"CRUD with role assignment.","type: task,module: settings",STORY-12.2.1
TASK-12.2.1.2,"Task: Build Blazor Settings Users page",Task,"Table with role column and deactivate toggle.","type: task,module: settings",STORY-12.2.1
TASK-12.2.1.3,"Task: Assign roles",Task,"Dropdown with admin fleet_manager accountant viewer.","type: task,module: settings",STORY-12.2.1
TASK-12.2.1.4,"Task: Write user management tests",Task,"Cover role assignment and deactivation.","type: task,module: settings",STORY-12.2.1
